stt_jgd_id,stt_chutes_ao_gol,stt_gols,stt_defesas,stt_assistencias,stt_pontuacao,stt_relacao_chute_gol,stt_impulso_por_minuto,stt_med_impulso,stt_impulso_coletado,stt_impulso_roubado,stt_impulso_grande_coletado,stt_impulso_grande_roubado,stt_impulso_pequeno_coletado,stt_impulso_pequeno_roubado,stt_blocos_grandes_coletados,stt_blocos_grandes_roubados,stt_blocos_pequenos_coletados,stt_blocos_pequenos_roubados,stt_velocidade_med,stt_distancia_percorrida,stt_distancia_med_da_bola,stt_distancia_med_posse,stt_distancia_med_s_posse,stt_distancia_med_dos_aliados,stt_demolicoes_causadas,stt_demolicoes_recebidas,stt_participacoes_gols,cluster
1,2.67,0.0,2.0,0.33,297.33,0.0,310.67,44.53,1790.33,358.67,928.67,206.67,861.67,152.0,10.67,2.33,74.67,13.33,1438.33,460250.33,3080.0,3194.67,2975.67,3703.33,0.33,3.33,33.33,2
2,1.39,0.18,0.75,0.61,208.5,11.61,334.96,46.81,2032.82,403.46,1239.39,203.21,793.43,200.25,15.86,2.61,68.71,17.32,1446.93,493567.71,3071.86,3113.29,3035.04,3649.04,0.61,1.11,30.06,2
3,2.15,0.59,1.11,0.52,303.85,16.42,398.15,50.88,2337.93,476.59,1555.7,291.26,782.22,185.33,18.26,3.59,67.3,15.78,1526.04,510809.33,2906.67,2852.22,2951.74,3530.44,0.7,0.81,37.25,1
4,2.41,0.59,1.63,0.37,339.33,16.34,381.15,45.16,2296.81,470.78,1445.74,230.96,851.07,239.81,17.37,2.89,75.07,21.33,1544.78,524575.15,2872.56,2747.67,2969.81,3657.89,0.48,0.63,43.21,1
5,2.8,0.8,1.47,0.66,380.09,21.96,411.97,54.04,2478.81,612.96,1643.96,347.59,834.85,265.38,20.01,4.22,75.25,23.88,1516.0,515443.72,2846.74,2754.35,2939.38,3702.99,0.99,0.77,44.79,0
6,2.76,0.85,1.52,0.54,368.3,13.76,362.0,56.52,2164.43,431.28,1349.33,201.78,815.11,229.5,17.0,2.59,74.09,20.35,1510.72,506783.33,2943.41,2845.41,3048.65,3626.89,0.37,1.02,49.08,1
7,2.43,0.62,1.2,0.58,333.74,16.0,422.72,46.77,2500.6,639.53,1770.33,414.86,730.27,224.67,20.38,4.71,63.7,19.1,1503.62,512284.41,2864.44,2731.03,2987.92,3709.59,0.91,0.93,39.48,0
8,2.69,0.86,1.14,0.67,363.21,23.1,357.52,45.46,2092.86,379.31,1326.24,193.07,766.62,186.24,15.48,2.33,65.95,16.05,1480.71,499300.36,2882.14,2820.24,2951.43,3637.33,0.69,0.98,36.94,1
9,2.23,0.59,1.54,0.56,351.29,17.94,394.42,45.55,2368.66,462.12,1570.81,252.75,797.86,209.37,18.16,2.9,68.13,17.79,1509.98,526107.76,3001.37,2898.12,3096.08,3761.22,0.72,0.9,40.06,1
10,3.34,1.14,1.22,0.7,412.74,25.51,413.06,49.57,2396.92,582.68,1746.98,381.96,649.94,200.72,20.68,4.36,57.46,17.9,1581.16,531653.4,3022.62,2878.14,3164.7,3690.48,1.66,0.7,57.47,0
11,2.82,0.96,1.29,0.58,391.73,17.45,364.82,48.4,2187.73,579.56,1364.16,313.6,823.58,265.96,17.02,3.78,71.11,22.91,1515.2,512224.27,2753.29,2613.82,2880.13,3578.91,0.62,0.8,44.19,1
